Frame: 29664, Time: 01:39:43
Frame: 29665, Time: 01:39:43
Frame: 29666, Time: 01:39:43
Frame: 29667, Time: 01:39:43
Frame: 29668, Time: 01:39:43
Frame: 29669, Time: 01:39:44
Frame: 29670, Time: 01:39:44
Frame: 29671, Time: 01:39:44
Frame: 29672, Time: 01:39:44
Frame: 29673, Time: 01:39:44
Frame: 29674, Time: 01:39:45
Frame: 29675, Time: 01:39:45
Frame: 31387, Time: 01:45:30
Frame: 31397, Time: 01:45:32
Frame: 34898, Time: 01:57:18
Frame: 34899, Time: 01:57:18
Frame: 34900, Time: 01:57:19
Frame: 34901, Time: 01:57:19
Frame: 34902, Time: 01:57:19
Frame: 34903, Time: 01:57:19
Frame: 34905, Time: 01:57:20
Frame: 34906, Time: 01:57:20
Frame: 34907, Time: 01:57:20
Frame: 34909, Time: 01:57:20
Frame: 34910, Time: 01:57:21
Frame: 34911, Time: 01:57:21
Frame: 34917, Time: 01:57:22
Frame: 34918, Time: 01:57:22
Frame: 34919, Time: 01:57:22
Frame: 34920, Time: 01:57:23
Frame: 34921, Time: 01:57:23
Frame: 34922, Time: 01:57:23
Frame: 34923, Time: 01:57:23
Frame: 34924, Time: 01:57:23
Frame: 34925, Time: 01:57:24
Frame: 34927, Time: 01:57:24
Frame: 34928, Time: 01:57:24
Frame: 34929, Time: 01:57:24
Frame: 34936, Time: 01:57:26
Frame: 34937, Time: 01:57:26
Frame: 34939, Time: 01:57:26
Frame: 34940, Time: 01:57:27
Frame: 34941, Time: 01:57:27
Frame: 34942, Time: 01:57:27
Frame: 34943, Time: 01:57:27
Frame: 34944, Time: 01:57:27
Frame: 34946, Time: 01:57:28
Frame: 34947, Time: 01:57:28
Frame: 34948, Time: 01:57:28
Frame: 34949, Time: 01:57:28
Frame: 34950, Time: 01:57:29
Frame: 34951, Time: 01:57:29
Frame: 34952, Time: 01:57:29
Frame: 34953, Time: 01:57:29
Frame: 34954, Time: 01:57:30
Frame: 34955, Time: 01:57:30
Frame: 34956, Time: 01:57:30
Frame: 34957, Time: 01:57:30
Frame: 34958, Time: 01:57:30
Frame: 34959, Time: 01:57:31
Frame: 34960, Time: 01:57:31
Frame: 34961, Time: 01:57:31
Frame: 34962, Time: 01:57:31
Frame: 34963, Time: 01:57:31
Frame: 34964, Time: 01:57:32
Frame: 34965, Time: 01:57:32
Frame: 34966, Time: 01:57:32
Frame: 34967, Time: 01:57:32
Frame: 34968, Time: 01:57:32
Frame: 34969, Time: 01:57:33
Frame: 34970, Time: 01:57:33
Frame: 34971, Time: 01:57:33
Frame: 34972, Time: 01:57:33
Frame: 34973, Time: 01:57:33
Frame: 34974, Time: 01:57:34
Frame: 34975, Time: 01:57:34
Frame: 34976, Time: 01:57:34
Frame: 34977, Time: 01:57:34
Frame: 34978, Time: 01:57:34
Frame: 34979, Time: 01:57:35
Frame: 34980, Time: 01:57:35
Frame: 34982, Time: 01:57:35
Frame: 34983, Time: 01:57:35
Frame: 34984, Time: 01:57:36
Frame: 34985, Time: 01:57:36
Frame: 34986, Time: 01:57:36
Frame: 34987, Time: 01:57:36
Frame: 34988, Time: 01:57:36
Frame: 34989, Time: 01:57:37
Frame: 34992, Time: 01:57:37
Frame: 34994, Time: 01:57:38
Frame: 34995, Time: 01:57:38
Frame: 34996, Time: 01:57:38
Frame: 34997, Time: 01:57:38
Frame: 34998, Time: 01:57:38
Frame: 34999, Time: 01:57:39
Frame: 35002, Time: 01:57:39
Frame: 35003, Time: 01:57:39
Frame: 35004, Time: 01:57:40
Frame: 35005, Time: 01:57:40
Frame: 35006, Time: 01:57:40
Frame: 35007, Time: 01:57:40
Frame: 35008, Time: 01:57:40
Frame: 35010, Time: 01:57:41
Frame: 35011, Time: 01:57:41
Frame: 35012, Time: 01:57:41
Frame: 35025, Time: 01:57:44
Frame: 35026, Time: 01:57:44
Frame: 35027, Time: 01:57:44
Frame: 35028, Time: 01:57:44
Frame: 35029, Time: 01:57:45
Frame: 35030, Time: 01:57:45
Frame: 35031, Time: 01:57:45
Frame: 35032, Time: 01:57:45
Frame: 35033, Time: 01:57:45
Frame: 35034, Time: 01:57:46
Frame: 35038, Time: 01:57:46
Frame: 35039, Time: 01:57:47
Frame: 35041, Time: 01:57:47
Frame: 35045, Time: 01:57:48
Frame: 35046, Time: 01:57:48
Frame: 36516, Time: 02:02:45
Frame: 36520, Time: 02:02:45
Frame: 36521, Time: 02:02:46
Frame: 36522, Time: 02:02:46
Frame: 36523, Time: 02:02:46
Frame: 36524, Time: 02:02:46
Frame: 36525, Time: 02:02:46
Frame: 36526, Time: 02:02:47
Frame: 36527, Time: 02:02:47
Frame: 36528, Time: 02:02:47
Frame: 36529, Time: 02:02:47
Frame: 36530, Time: 02:02:47
Frame: 36531, Time: 02:02:48
Frame: 36532, Time: 02:02:48
Frame: 36533, Time: 02:02:48
Frame: 36534, Time: 02:02:48
Frame: 36535, Time: 02:02:48
Frame: 36536, Time: 02:02:49
Frame: 36537, Time: 02:02:49
Frame: 36538, Time: 02:02:49
Frame: 36539, Time: 02:02:49
Frame: 36540, Time: 02:02:49
Frame: 36541, Time: 02:02:50
Frame: 36542, Time: 02:02:50
Frame: 36543, Time: 02:02:50
Frame: 36544, Time: 02:02:50
Frame: 36545, Time: 02:02:50
Frame: 36693, Time: 02:03:20
Frame: 36694, Time: 02:03:20
Frame: 36695, Time: 02:03:21
Frame: 36696, Time: 02:03:21
Frame: 36697, Time: 02:03:21
Frame: 36698, Time: 02:03:21
Frame: 36699, Time: 02:03:21
Frame: 36700, Time: 02:03:22
Frame: 36701, Time: 02:03:22
Frame: 36702, Time: 02:03:22
Frame: 36703, Time: 02:03:22
Frame: 36704, Time: 02:03:22
Frame: 36705, Time: 02:03:23
Frame: 36706, Time: 02:03:23
Frame: 36707, Time: 02:03:23
Frame: 36708, Time: 02:03:23
Frame: 36709, Time: 02:03:23
Frame: 36710, Time: 02:03:24
Frame: 36711, Time: 02:03:24
Frame: 36712, Time: 02:03:24
Frame: 36713, Time: 02:03:24
Frame: 36714, Time: 02:03:24
Frame: 37759, Time: 02:06:55
Frame: 37761, Time: 02:06:56
Frame: 37762, Time: 02:06:56
Frame: 37763, Time: 02:06:56
Frame: 37764, Time: 02:06:56
Frame: 37765, Time: 02:06:56
Frame: 37766, Time: 02:06:57
Frame: 37767, Time: 02:06:57
Frame: 37768, Time: 02:06:57
Frame: 37769, Time: 02:06:57
Frame: 37770, Time: 02:06:57
Frame: 37771, Time: 02:06:58
Frame: 37772, Time: 02:06:58
Frame: 37773, Time: 02:06:58
Frame: 37774, Time: 02:06:58
Frame: 37775, Time: 02:06:58
Frame: 37776, Time: 02:06:59
Frame: 38366, Time: 02:08:58
Frame: 38367, Time: 02:08:58
Frame: 38368, Time: 02:08:58
Frame: 38369, Time: 02:08:58
Frame: 38370, Time: 02:08:58
Frame: 38371, Time: 02:08:59
Frame: 38372, Time: 02:08:59
Frame: 38373, Time: 02:08:59
Frame: 38374, Time: 02:08:59
Frame: 38375, Time: 02:09:00
Frame: 38376, Time: 02:09:00
Frame: 38377, Time: 02:09:00
Frame: 38378, Time: 02:09:00
Frame: 38379, Time: 02:09:00
Frame: 38380, Time: 02:09:01
Frame: 38381, Time: 02:09:01
Frame: 38382, Time: 02:09:01
Frame: 38383, Time: 02:09:01
Frame: 38384, Time: 02:09:01
Frame: 38385, Time: 02:09:02
Frame: 38386, Time: 02:09:02
Frame: 38387, Time: 02:09:02
Frame: 38388, Time: 02:09:02
Frame: 38389, Time: 02:09:02
Frame: 38390, Time: 02:09:03
Frame: 38391, Time: 02:09:03
Frame: 38392, Time: 02:09:03
Frame: 38393, Time: 02:09:03
Frame: 38395, Time: 02:09:04
Frame: 38397, Time: 02:09:04
Frame: 38398, Time: 02:09:04
Frame: 38401, Time: 02:09:05
Frame: 39343, Time: 02:12:15
Frame: 39345, Time: 02:12:15
Frame: 39346, Time: 02:12:15
Frame: 39347, Time: 02:12:16
Frame: 39348, Time: 02:12:16
Frame: 39349, Time: 02:12:16
Frame: 39350, Time: 02:12:16
Frame: 39351, Time: 02:12:16
Frame: 39352, Time: 02:12:17
Frame: 39934, Time: 02:14:14
Frame: 39935, Time: 02:14:14
Frame: 39936, Time: 02:14:14
Frame: 39937, Time: 02:14:15
Frame: 39938, Time: 02:14:15
Frame: 39939, Time: 02:14:15
Frame: 39940, Time: 02:14:15
